,SERIAL NO,NAME,CATEGORY,DESCRIPTION & COLOR,FABRIC,IMAGE,SIZE,PRICE,PRODUCT ID,WEBSITE,PRODUCT URL
102,7436,Indian Terrain Men Charcoal Grey Brooklyn Slim Fit Mid-Rise Clean Look Stretchable Jeans,Jeans,"Indian Terrain Men Charcoal Grey Brooklyn Slim Fit Mid Rise Clean Look Stretchable Jeans,  Indian Terrain, Jeans, Bottomwear, Apparel, Apparel for Men, Buy Indian Terrain Men Charcoal Grey Brooklyn Slim Fit Mid Rise Clean Look Stretchable Jeans Online in India, Buy Jeans at best price",98.5% cotton and 1.5% elastane,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/4619650/2018/8/31/16debd47-c91e-4e57-9391-e822664f21cb1535709800403-Indian-Terrain-Men-Jeans-1881535709800187-1.jpg",Brooklyn slim fit,2124,4619650,Myntra,https://www.myntra.com/jeans/indian-terrain/indian-terrain-men-charcoal-grey-brooklyn-slim-fit-mid-rise-clean-look-stretchable-jeans/4619650/buy
103,16484,Ed Hardy Men Mustard Yellow Printed Round Neck T-shirt,T-Shirts,"Ed Hardy Men Mustard Yellow Printed Round Neck T Shirt,  Ed Hardy, Tshirts, Topwear, Apparel, Apparel for Men, Buy Ed Hardy Men Mustard Yellow Printed Round Neck T Shirt Online in India, Buy Tshirts at best price",100% cotton,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2476153/2018/7/18/12fb71af-c099-4c14-b4c8-7c9be1d2293e1531904783139-Ed-Hardy-Men-Mustard-Yellow-Printed-Round-Neck-T-shirt-831531904782925-1.jpg",The model (height 6') is wearing a size M,719,2476153,Myntra,https://www.myntra.com/tshirts/ed-hardy/ed-hardy-men-mustard-yellow-printed-round-neck-t-shirt/2476153/buy
104,734,Kook N Keech Star Wars Men White Skinny Crop Fit Mid-Rise Mildly Distressed Jeans,Jeans,"Kook N Keech Star Wars Men White Skinny Crop Fit Mid Rise Mildly Distressed Jeans,  Kook N Keech Star Wars, Jeans, Bottomwear, Apparel, Apparel for Men, Buy Kook N Keech Star Wars Men White Skinny Crop Fit Mid Rise Mildly Distressed Jeans Online in India, Buy Jeans at best price","98% cotton, 2% elastane","https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7139417/2019/2/14/201cb6d3-3a6c-4c29-9f9a-82afa9a4ba841550125890018-Kook-N-Keech-Star-Wars-Men-White-Skinny-Crop-Fit-Mid-Rise-Mi-1.jpg",Skinny crop fit,1199,7139417,Myntra,https://www.myntra.com/jeans/kook-n-keech-star-wars/kook-n-keech-star-wars-men-white-skinny-crop-fit-mid-rise-mildly-distressed-jeans/7139417/buy
105,13604,People Men Navy Blue Printed Round Neck T-shirt,T-Shirts,"People Men Navy Blue Printed Round Neck T Shirt,  People, Tshirts, Topwear, Apparel, Apparel for Men, Buy People Men Navy Blue Printed Round Neck T Shirt Online in India, Buy Tshirts at best price",100% Cotton,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7669093/2018/10/24/910931c7-22d4-4fd0-9a78-a681a994eadb1540365712628-na-7631540365712402-1.jpg",The model (height 6') is wearing a size M,315,7669093,Myntra,https://www.myntra.com/tshirts/people/people-men-navy-blue-printed-round-neck-t-shirt/7669093/buy
106,377,Roadster Men Blue & Black Printed Casual Shirt,casual-shirts,"Roadster Men Blue & Black Printed Casual Shirt,  Roadster, Shirts, Topwear, Apparel, Apparel for Men, Buy Roadster Men Blue & Black Printed Casual Shirt Online in India, Buy Shirts at best price",100% cotton,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7263010/2018/11/29/bec082f5-c1fb-4d63-8f7b-0b883a2b25561543485581414-Roadster-Men-Blue--Black-Slim-Fit-Printed-Casual-Shirt-7181543485580571-1.jpg",Slim fit,749,7263010,Myntra,https://www.myntra.com/shirts/roadster/roadster-men-blue--black-printed-casual-shirt/7263010/buy
107,8836,HERE&NOW Men Blue Slim Fit Mid-Rise Mildly Distressed Stretchable Cropped Jeans,Jeans,"HERE&NOW Men Blue Slim Fit Mid Rise Mildly Distressed Stretchable Cropped Jeans,  HERE&NOW, Jeans, Bottomwear, Apparel, Apparel for Men, Buy HERE&NOW Men Blue Slim Fit Mid Rise Mildly Distressed Stretchable Cropped Jeans Online in India, Buy Jeans at best price","98.5% cotton, 1.5% elastane","https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6747375/2018/10/26/61a9ca3d-9884-4e74-b1fa-68ae36c6677d1540530811595-HERENOW-Men-Blue-Slim-Fit-Mid-Rise-Mildly-Distressed-Stretchable-Jeans-2601540530811462-1.jpg",Slim fit,759,6747375,Myntra,https://www.myntra.com/jeans/herenow/herenow-men-blue-slim-fit-mid-rise-mildly-distressed-stretchable-cropped-jeans/6747375/buy
108,1301,next Men Olive Green Slim Fit Solid Casual Shirt,casual-shirts,"Next Men Olive Green Slim Fit Solid Casual Shirt,  Next, Shirts, Topwear, Apparel, Apparel for Men, Buy Next Men Olive Green Slim Fit Solid Casual Shirt Online in India, Buy Shirts at best price",Cotton,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6603730/2018/6/1/3dd4b27b-43f1-47a5-b8fa-5c98f82bd34b1527832925873-next-Men-Green-Solid-Shirt-1531527832925747-1.jpg",Slim fit,1424,6603730,Myntra,https://www.myntra.com/shirts/next/next-men-olive-green-slim-fit-solid-casual-shirt/6603730/buy
109,4901,U.S. Polo Assn. Mustard Yellow Slim Casual Trousers,Men-Casual-Trousers,"U.S. Polo Assn. Mustard Yellow Slim Casual Trousers,  U.S. Polo Assn., Trousers, Bottomwear, Apparel, Apparel for Men, Buy U.S. Polo Assn. Mustard Yellow Slim Casual Trousers Online in India, Buy Trousers at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/556441/2016/5/13/11463136014455-US-Polo-Assn-Mustard-Yellow-Slim-Casual-Trousers-5591463136014182-1.jpg",Slim fit ,1649,556441,Myntra,https://www.myntra.com/trousers/us-polo-assn/us-polo-assn-mustard-yellow-slim-casual-trousers/556441/buy
110,16423,Aeropostale Men Navy Blue & Grey Striped Polo Collar T-shirt,T-Shirts,"Aeropostale Men Navy Blue & Grey Striped Polo Collar T Shirt,  Aeropostale, Tshirts, Topwear, Apparel, Apparel for Men, Buy Aeropostale Men Navy Blue & Grey Striped Polo Collar T Shirt Online in India, Buy Tshirts at best price",Cotton,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7402913/2018/10/24/745ca8e7-19c9-4861-870e-4ab968a827a71540369561414-Aeropostale-Men-Tshirts-6471540369561318-1.jpg",The model (height 6') is wearing a size M,1799,7402913,Myntra,https://www.myntra.com/tshirts/aeropostale/aeropostale-men-navy-blue--grey-striped-polo-collar-t-shirt/7402913/buy
111,3080,Roadster Men Maroon Printed Polo Collar T-shirt,T-Shirts,"Roadster Men Maroon Printed Polo Collar T Shirt,  Roadster, Tshirts, Topwear, Apparel, Apparel for Men, Buy Roadster Men Maroon Printed Polo Collar T Shirt Online in India, Buy Tshirts at best price",100% cotton,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7330780/2018/12/12/d90cb3b3-6aa0-48ad-a327-c0964a26b1c81544614686114-Roadster-Men-Maroon-Printed-Polo-Collar-T-shirt-215446146854-1.jpg",The model (height 6') is wearing a size M,499,7330780,Myntra,https://www.myntra.com/tshirts/roadster/roadster-men-maroon-printed-polo-collar-t-shirt/7330780/buy
