SERIAL NO,NAME,CATEGORY,DESCRIPTION & COLOR,FABRIC,IMAGE,SIZE,PRICE,PRODUCT ID,WEBSITE,PRODUCT URL
66,Kappa Men Navy Blue Solid Swim Shorts KP SS18,men-swimwear,"Kappa Men Navy Blue Solid Swim Shorts KP SS18,  Kappa, Swim Bottoms, Apparel Set, Apparel, Apparel for Men, Buy Kappa Men Navy Blue Solid Swim Shorts KP SS18 Online in India, Buy Swim Bottoms at best price",100% nylon,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/5641864/2019/1/25/ab9b76a6-ac55-473d-9453-c9e1e799fa411548418036100-Kappa-Men-Swimwear-8131548418035234-1.jpg",The model (height 6') is wearing a size M, 599,5641864,Myntra,https://www.myntra.com/swim-bottoms/kappa/kappa-men-navy-blue-solid-swim-shorts-kp-ss18/5641864/buy
67,Futura Biofuse Unisex Black Mirror Swim Goggles 8104434577,men-swimwear,"Futura Biofuse Unisex Black Mirror Swim Goggles 8104434577,  Speedo, Swimwear Accessories, Accessories, Sporting Goods, Sporting Goods for Unisex, Buy Futura Biofuse Unisex Black Mirror Swim Goggles 8104434577 Online in India, Buy Swimwear Accessories at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/1930867/2017/6/8/11496902050221-Futura-Biofuse-Unisex-Black-Mirror-Swim-Goggles-8104434577-5471496902050110-1.jpg",, 2159,1930867,Myntra,https://www.myntra.com/swimwear-accessories/speedo/futura-biofuse-unisex-black-mirror-swim-goggles-8104434577/1930867/buy
68,Speedo Men Grey Solid Swim Shorts 8007220012,men-swimwear,"Speedo Men Grey Solid Swim Shorts 8007220012,  Speedo, Swimwear, Bottomwear, Apparel, Apparel for Men, Buy Speedo Men Grey Solid Swim Shorts 8007220012 Online in India, Buy Swimwear at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/1930895/2017/6/8/11496919602465-Speedo-Men-Grey-Solid-Swim-Shorts-8007220012-661496919601517-1.jpg",, 949,1930895,Myntra,https://www.myntra.com/swimwear/speedo/speedo-men-grey-solid-swim-shorts-8007220012/1930895/buy
69,Speedo Unisex Assorted Slogan Print Swim Cap,men-swimwear,"Speedo Unisex Assorted Slogan Print Swim Cap,  Speedo, Swimwear Accessories, Accessories, Accessories, Accessories for Unisex, Buy Speedo Unisex Assorted Slogan Print Swim Cap Online in India, Buy Swimwear Accessories at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2284582/2018/2/2/11517568219919-Speedo-Unisex-Assorted-Slogan-Print-Swim-Cap-6691517568219907-1.jpg",, 799,2284582,Myntra,https://www.myntra.com/swimwear-accessories/speedo/speedo-unisex-assorted-slogan-print-swim-cap/2284582/buy
70,Speedo Unisex FASTSKIN SPESOCKET 2 MIR Swimming Goggles 8108973515,men-swimwear,"Speedo Unisex FASTSKIN SPESOCKET 2 MIR Swimming Goggles 8108973515,  Speedo, Swimwear Accessories, Accessories, Sporting Goods, Sporting Goods for Unisex, Buy Speedo Unisex FASTSKIN SPESOCKET 2 MIR Swimming Goggles 8108973515 Online in India, Buy Swimwear Accessories at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2284572/2018/2/2/11517567164036-Speedo-Unisex-Swimming-Goggles-1211517567163995-1.jpg",, 2379,2284572,Myntra,https://www.myntra.com/swimwear-accessories/speedo/speedo-unisex-fastskin-spesocket-2-mir-swimming-goggles-8108973515/2284572/buy
71,Speedo Kids Grey & Black Junior Slogan Print Swimming Cap 808385C622,men-swimwear,"Speedo Kids Grey & Black Junior Slogan Print Swimming Cap 808385C622,  Speedo, Swimwear Accessories, Accessories, Sporting Goods, Sporting Goods for Unisex, Buy Speedo Kids Grey & Black Junior Slogan Print Swimming Cap 808385C622 Online in India, Buy Swimwear Accessories at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6674346/2018/9/11/21323c3d-bc84-41b7-b9fa-2a74c4b0cd171536649763722-Speedo-Kids-Grey--Black-Junior-Slogan-Print-Swimming-Cap-476-1.jpg",, 799,6674346,Myntra,https://www.myntra.com/swimwear-accessories/speedo/speedo-kids-grey--black-junior-slogan-print-swimming-cap-808385c622/6674346/buy
72,Speedo Kids Pink Pace Swimming Cap 8720641341,men-swimwear,"Speedo Kids Pink Pace Swimming Cap 8720641341,  Speedo, Swimwear Accessories, Accessories, Sporting Goods, Sporting Goods for Unisex, Buy Speedo Kids Pink Pace Swimming Cap 8720641341 Online in India, Buy Swimwear Accessories at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6674350/2018/9/11/2ba64522-02dd-4747-b827-bfc5cd667a151536648068266-Speedo-Kids-Pink-Pace-Swimming-Cap-7931536648067656-1.jpg",, 899,6674350,Myntra,https://www.myntra.com/swimwear-accessories/speedo/speedo-kids-pink-pace-swimming-cap-8720641341/6674350/buy
73,Speedo Kids Red Slogan Printed Swim Cap,men-swimwear,"Speedo Kids Red Slogan Printed Swim Cap,  Speedo, Swimwear Accessories, Accessories, Sporting Goods, Sporting Goods for Unisex, Buy Speedo Kids Red Slogan Printed Swim Cap Online in India, Buy Swimwear Accessories at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6674275/2018/9/11/403480ff-ce25-40f8-a562-68b68dbf714f1536646263614-Speedo-Kids-Blue-Printed-Slogan-Swim-Cap-4771536646262863-1.jpg",, 799,6674275,Myntra,https://www.myntra.com/swimwear-accessories/speedo/speedo-kids-red-slogan-printed-swim-cap/6674275/buy
74,Speedo Kids Blue Slogan Print Swimming Cap,men-swimwear,"Speedo Kids Blue Slogan Print Swimming Cap,  Speedo, Swimwear Accessories, Accessories, Sporting Goods, Sporting Goods for Unisex, Buy Speedo Kids Blue Slogan Print Swimming Cap Online in India, Buy Swimwear Accessories at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6674299/2018/9/11/40a21373-5056-4f62-abf4-23a0768a1fa21536648012869-Speedo-Kids-Blue--Orange-Slogan-Print-Swimming-Cap-213153664-1.jpg",, 799,6674299,Myntra,https://www.myntra.com/swimwear-accessories/speedo/speedo-kids-blue-slogan-print-swimming-cap/6674299/buy
75,Speedo Kids Orange Pace Swim Cap,men-swimwear,"Speedo Kids Orange Pace Swim Cap,  Speedo, Swimwear Accessories, Accessories, Sporting Goods, Sporting Goods for Unisex, Buy Speedo Kids Orange Pace Swim Cap Online in India, Buy Swimwear Accessories at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6674289/2018/9/11/163f9ecd-07af-4284-abf5-531d7fc834481536646287980-Speedo-Kids-Orange-Pace-Swim-Cap-1801536646287377-1.jpg",, 899,6674289,Myntra,https://www.myntra.com/swimwear-accessories/speedo/speedo-kids-orange-pace-swim-cap/6674289/buy
